customer_id,recency,frequency,monetary,avg_order_value,loyalty_tier,age,household_size,days_since_first_purchase,purchase_frequency_per_month,customer_lifetime_value,cluster,cluster_gmm,final_cluster,segment_name,historical_clv,avg_days_between_purchases,purchase_acceleration,seasonal_spend_variance,seasonal_frequency_variance,customer_tenure_days,days_since_last_purchase,lifecycle_stage,lifecycle_stage_encoded,predicted_clv,vip_score,is_vip
CUST_012346,326,1,77183.6,77183.6,0,0.0,0.0,326,0.09202453987730061,25057.432914832243,1,1,1,Big Spenders,77183.6,326.0,0.003067484662576687,0.0,0.0,,,,0,5135773.266900013,-0.797194638923297,True
CUST_012409,79,109,11072.67,101.58412844036697,0,0.0,0.0,183,17.868852459016395,7512.533107418899,0,0,0,Frequent Buyers,1206921.03,0.7247706422018348,1.379746835443038,948.5766758939416,13.435028842544403,,,,0,1282253.6209,-0.601531958390327,True
CUST_012415,24,714,124914.53,174.95032212885152,0,0.0,0.0,338,63.37278106508875,63254.28837510717,0,0,0,Frequent Buyers,89188974.42,0.03361344537815126,29.75,7157.81574643352,44.73253849269008,,,,0,82734177.86840001,-0.8421030171805973,True
CUST_012428,26,294,7956.46,27.062789115646257,0,0.0,0.0,284,31.056338028169012,4244.5325857656635,0,0,0,Frequent Buyers,2339199.24,0.08843537414965986,11.307692307692308,2661.9247566313115,94.49691352984321,,,,0,2698703.143200002,-0.5771181391761817,True
CUST_012433,1,420,13375.87,31.847309523809525,0,0.0,0.0,373,33.78016085790885,5973.1104244357875,0,0,0,Frequent Buyers,5617865.4,0.002380952380952381,419.99999999999994,5769.743847108813,182.43354954612926,,,,0,6504504.391999993,-0.6802637882095793,True
CUST_012435,80,36,7829.89,217.49694444444447,0,0.0,0.0,268,4.029850746268656,3104.83493653829,0,0,0,Frequent Buyers,281876.04000000004,2.2222222222222223,0.44999999999999996,90.57330760218481,1.4142135623730951,,,,0,267346.9968000001,-0.5651945741052385,True
CUST_012451,11,354,9035.52,25.524067796610172,0,0.0,0.0,325,32.676923076923075,4431.18932006753,0,0,0,Frequent Buyers,3198574.08,0.031073446327683617,32.18181818181818,674.4516400009715,35.679125549822544,,,,0,3281516.067600001,-0.5973742481071384,True
CUST_012471,2,460,19824.05,43.09576086956522,0,0.0,0.0,365,37.80821917808219,9165.132407351135,0,0,0,Frequent Buyers,9119063.0,0.004347826086956522,230.0,4706.926713843298,91.83681179135087,,,,0,8273741.8469,-0.7202302589093356,True
CUST_012474,17,424,7375.79,17.395731132075472,0,0.0,0.0,330,38.54545454545455,3583.6111935873005,0,0,0,Frequent Buyers,3127334.96,0.04009433962264151,24.941176470588236,855.8566739189844,52.121652570372966,,,,0,3142517.719999999,-0.5829056558266593,True
CUST_012477,23,300,13219.74,44.065799999999996,0,0.0,0.0,302,29.80132450331126,6727.341584625269,0,0,0,Frequent Buyers,3965922.0,0.07666666666666666,13.043478260869566,1176.1605437042454,24.179881444429515,,,,0,4212273.909399999,-0.6331763330185777,True
CUST_012536,43,261,12601.83,48.28287356321839,0,0.0,0.0,59,132.71186440677968,31442.803664353152,0,0,0,Frequent Buyers,3289077.63,0.16475095785440613,6.069767441860465,0.0,0.0,,,,0,6413648.191799997,-0.653055189033767,True
CUST_012540,20,478,13400.24,28.03397489539749,0,0.0,0.0,362,39.61325966850829,6034.320664576761,0,0,0,Frequent Buyers,6405314.72,0.04184100418410042,23.900000000000002,656.8695579793604,33.768821912132694,,,,0,6130531.91160001,-0.6872302526452059,True
CUST_012557,16,33,11990.96,363.3624242424242,0,0.0,0.0,372,2.661290322580645,3723.3954692710513,0,0,0,Frequent Buyers,395701.68,0.48484848484848486,2.0625,338.0345392609061,3.4641016151377544,,,,0,451537.6828999999,-0.6295037811428799,True
CUST_012567,23,446,9401.28,21.079103139013455,0,0.0,0.0,370,36.16216216216216,4061.951668191261,0,0,0,Frequent Buyers,4192970.8800000004,0.0515695067264574,19.391304347826086,1040.839526568177,44.56081986079999,,,,0,4075602.0250999965,-0.61585309051261,True
CUST_012590,211,68,9864.26,145.06264705882353,0,0.0,0.0,211,9.66824644549763,4679.464682424324,0,0,0,Frequent Buyers,670769.68,3.1029411764705883,0.3222748815165877,0.0,0.0,,,,0,619148.7508000003,-0.5751688266578996,True
CUST_012621,2,467,13689.67,29.31406852248394,0,0.0,0.0,366,38.278688524590166,6299.645657567385,0,0,0,Frequent Buyers,6393075.89,0.004282655246252677,233.5,729.5624035623454,40.705241267761416,,,,0,6367705.485599997,-0.6890926539959799,True
CUST_012637,67,390,6021.9,15.440769230769229,0,0.0,0.0,324,36.11111111111111,2687.4685806921093,0,0,0,Frequent Buyers,2348541.0,0.1717948717948718,5.82089552238806,1314.278745484889,57.37885789498893,,,,0,2363333.4099000003,-0.5626776776381771,True
CUST_012678,42,165,17628.46,106.83915151515151,0,0.0,0.0,354,13.983050847457626,6884.814595044429,0,0,0,Frequent Buyers,2908695.9,0.2545454545454545,3.928571428571429,3235.137433881287,20.886598574205422,,,,0,3047166.9647999997,-0.6776029529307788,True
CUST_012681,15,638,13787.54,21.610564263322885,0,0.0,0.0,368,52.01086956521739,6375.35612851626,0,0,0,Frequent Buyers,8796450.520000001,0.023510971786833857,42.53333333333333,1632.244208577054,61.37589103222861,,,,0,8594025.829399992,-0.7187698477414135,True
CUST_012682,4,525,12288.22,23.406133333333333,0,0.0,0.0,371,42.45283018867924,5624.267783551535,0,0,0,Frequent Buyers,6451315.5,0.007619047619047619,131.25,1011.8276557629106,38.03835783346419,,,,0,6360032.3595,-0.6840518071053046,True
CUST_012683,4,344,8476.57,24.641191860465117,0,0.0,0.0,366,28.19672131147541,3716.927042124565,0,0,0,Frequent Buyers,2915940.08,0.011627906976744186,86.0,636.8610532067938,28.855964143772194,,,,0,3504969.5557000013,-0.5904948371520502,True
CUST_012705,15,334,6868.29,20.56374251497006,0,0.0,0.0,357,28.067226890756302,2998.407030960163,0,0,0,Frequent Buyers,2294008.86,0.04491017964071856,22.266666666666666,440.2917438471906,11.718930554164633,,,,0,2220259.618900001,-0.5602804049929284,True
CUST_012709,15,208,9736.52,46.81019230769231,0,0.0,0.0,367,17.00272479564033,3924.9847854147674,0,0,0,Frequent Buyers,2025196.1600000001,0.07211538461538461,13.866666666666667,672.0306655205552,14.07124727947029,,,,0,2060911.931099998,-0.5939199883854346,True
CUST_012731,24,274,18895.91,68.96317518248175,0,0.0,0.0,365,22.52054794520548,7868.1550919915335,0,0,0,Frequent Buyers,5177479.34,0.08759124087591241,11.416666666666666,1168.7103591102746,20.502032419575706,,,,0,5090664.220699999,-0.6861462668428054,True
CUST_012744,52,222,21279.29,95.85265765765766,0,0.0,0.0,318,20.943396226415096,9465.83657888467,0,0,0,Frequent Buyers,4724002.38,0.23423423423423423,4.269230769230769,2825.738541813744,16.782927833565473,,,,0,4585234.020399997,-0.7007599333949761,True
CUST_012748,1,4595,33719.73,7.338352557127313,0,0.0,0.0,374,368.58288770053474,19472.932842040143,0,0,0,Frequent Buyers,154942159.35000002,0.0002176278563656148,4595.0,7003.933174307015,1167.262145649668,,,,0,217742528.6422998,-0.8426729653457248,True
CUST_012753,23,197,21429.39,108.77862944162436,0,0.0,0.0,363,16.280991735537192,8638.905668873596,0,0,0,Frequent Buyers,4221589.83,0.116751269035533,8.565217391304348,2259.0026381772254,21.07723890835799,,,,0,3713101.6439999994,-0.6935491665511944,True
CUST_012755,281,4,3811.95,952.9875,0,0.0,0.0,366,0.3278688524590164,759.912277721042,0,0,0,Frequent Buyers,15247.8,70.25,0.014234875444839857,2670.636246524412,1.4142135623730951,,,,0,21770.175299999988,-0.6163942206147881,True
CUST_012757,16,371,7857.1,21.178167115902966,0,0.0,0.0,211,52.74881516587678,5937.015711250252,0,0,0,Frequent Buyers,2914984.1,0.0431266846361186,23.1875,1805.2743620384501,113.44749152508103,,,,0,3158442.456200001,-0.5844065675432681,True
CUST_012798,10,8,6977.04,872.13,0,0.0,0.0,171,1.4035087719298245,4016.9594999443652,0,0,0,Frequent Buyers,55816.32,1.25,0.8,2660.8145333337307,2.8284271247461903,,,,0,201715.80460000015,-0.639010888507314,True
CUST_012867,26,538,4036.82,7.503382899628253,0,0.0,0.0,360,44.833333333333336,1779.8849619510763,0,0,0,Frequent Buyers,2171809.16,0.048327137546468404,20.69230769230769,292.1902054598454,30.6648550189518,,,,0,2176762.805999997,-0.5807157466949366,True
CUST_012901,9,116,17654.54,152.19431034482758,0,0.0,0.0,271,12.841328413284133,9137.432217192183,0,0,0,Frequent Buyers,2047926.6400000001,0.07758620689655173,12.88888888888889,1411.8563200859594,13.490737563232042,,,,0,2024358.2200999975,-0.6597543239866345,True
CUST_012921,9,720,16587.09,23.037625,0,0.0,0.0,373,57.90884718498659,7776.695680981579,0,0,0,Frequent Buyers,11942704.8,0.0125,80.0,1834.2215700468141,65.18179704999446,,,,0,10544913.916899994,-0.7405930785283182,True
CUST_012931,22,82,42055.96,512.8775609756098,0,0.0,0.0,358,6.871508379888268,15434.909200839751,0,0,0,Frequent Buyers,3448588.7199999997,0.2682926829268293,3.727272727272727,12616.433284638466,19.017535767461215,,,,0,7035687.210500013,-0.7634116029722012,True
CUST_012939,64,47,11581.8,246.42127659574467,0,0.0,0.0,335,4.208955223880597,3902.520366112377,0,0,0,Frequent Buyers,544344.6,1.3617021276595744,0.734375,2939.773838648136,8.962886439832502,,,,0,753133.486,-0.6070489094532353,True
CUST_012971,4,305,11189.91,36.68822950819672,0,0.0,0.0,372,24.596774193548388,4778.932413605358,0,0,0,Frequent Buyers,3412922.55,0.013114754098360656,76.25,507.8360079379299,18.099263336758582,,,,0,3708071.477500005,-0.6185055706704911,True
CUST_012980,158,20,7374.9,368.745,0,0.0,0.0,359,1.6713091922005572,1841.8029944528969,0,0,0,Frequent Buyers,147498.0,7.9,0.12658227848101264,1131.855041646235,3.6514837167011076,,,,0,154788.07129999998,-0.6109210390410347,True
CUST_013001,4,339,9818.82,28.964070796460177,0,0.0,0.0,327,31.10091743119266,4832.5931503208085,0,0,0,Frequent Buyers,3328579.98,0.011799410029498525,84.75,2108.581953201409,79.30689335318421,,,,0,4201593.622599999,-0.6068038857117903,True
CUST_013018,16,458,7277.7,15.890174672489083,0,0.0,0.0,296,46.41891891891892,3993.4909170491687,0,0,0,Frequent Buyers,3333186.6,0.034934497816593885,28.625,791.9639293764163,52.65295180076169,,,,0,3363262.0357,-0.5871388871443437,True
CUST_013027,114,26,6912.0,265.84615384615387,0,0.0,0.0,355,2.197183098591549,1880.8739065294133,0,0,0,Frequent Buyers,179712.0,4.384615384615385,0.22807017543859648,1122.2833866720116,3.3166247903554003,,,,0,183803.41979999992,-0.5803534641973835,True
CUST_013078,3,358,12627.94,35.27357541899441,0,0.0,0.0,367,29.26430517711172,5596.711271321917,0,0,0,Frequent Buyers,4520802.5200000005,0.008379888268156424,119.33333333333333,1380.5895960180683,14.93318452306808,,,,0,4850815.147700001,-0.6470509604486521,True
CUST_013081,12,1024,28337.38,27.67322265625,0,0.0,0.0,371,82.8032345013477,13856.028631955296,0,0,0,Frequent Buyers,29017477.12,0.01171875,85.33333333333333,3452.2732845908945,91.66606060405708,,,,0,23380113.076599956,-0.794502340505845,True
CUST_013089,3,1818,58825.83,32.35744224422442,0,0.0,0.0,370,147.4054054054054,31283.44761767299,0,0,0,Frequent Buyers,106945358.94,0.0016501650165016502,606.0,2792.568219021993,67.72739475278819,,,,0,113209359.79819998,-0.8402775695357882,True
CUST_013090,9,155,8910.82,57.48916129032258,0,0.0,0.0,373,12.466487935656836,3433.3912056284557,0,0,0,Frequent Buyers,1381177.0999999999,0.05806451612903226,17.22222222222222,1870.644794030479,33.944808144987356,,,,0,1450094.0276999974,-0.5669805601774025,True
CUST_013097,33,423,6010.42,14.209030732860521,0,0.0,0.0,360,35.25,2578.009936714341,0,0,0,Frequent Buyers,2542407.66,0.07801418439716312,12.818181818181818,573.9653363226737,55.918839997505906,,,,0,2534430.9441999975,-0.5684879165538088,True
CUST_013098,1,572,28882.44,50.49377622377622,0,0.0,0.0,317,54.13249211356467,15852.995729479597,0,0,0,Frequent Buyers,16520755.68,0.0017482517482517483,572.0,4315.476267342922,85.11560765609717,,,,0,17315026.951000012,-0.7690837240345555,True
CUST_013113,1,200,12245.96,61.2298,0,0.0,0.0,366,16.393442622950822,5078.313757471262,0,0,0,Frequent Buyers,2449192.0,0.005,200.0,2094.557866933577,25.49509756796392,,,,0,2801229.4087999994,-0.610227906573617,True
CUST_013135,197,1,3096.0,3096.0,0,0.0,0.0,197,0.15228426395939088,1647.0084205574324,0,0,0,Frequent Buyers,3096.0,197.0,0.005076142131979695,0.0,0.0,,,,0,5535.4092,-0.6547307114318737,True
CUST_013137,11,704,3650.41,5.185241477272727,0,0.0,0.0,309,68.3495145631068,1997.4572611331178,0,0,0,Frequent Buyers,2569888.6399999997,0.015625,64.0,639.9137853062708,111.01051001294127,,,,0,2536112.6954,-0.6194867054799178,True
CUST_013199,4,119,9817.12,82.49680672268909,0,0.0,0.0,367,9.727520435967303,3755.2301944553465,0,0,0,Frequent Buyers,1168237.28,0.03361344537815126,29.75,2290.3863925547585,23.357725345875043,,,,0,1454804.4638,-0.5772256846376356,True
CUST_013230,4,611,2806.97,4.5940589198036,0,0.0,0.0,365,50.21917808219178,1271.3975044971621,0,0,0,Frequent Buyers,1715058.67,0.006546644844517185,152.75,227.0749004733901,40.5,,,,0,1776901.3450999982,-0.5841877118448493,True
CUST_013263,1,1677,7454.07,4.444883720930233,0,0.0,0.0,325,154.79999999999998,4430.377432950882,0,0,0,Frequent Buyers,12500475.389999999,0.0005963029218843172,1677.0,552.6844248076836,100.49004925862063,,,,0,62345238.83069999,-0.7832936199440851,True
CUST_013319,5,476,10845.55,22.784768907563024,0,0.0,0.0,366,39.016393442622956,4956.460374063852,0,0,0,Frequent Buyers,5162481.8,0.01050420168067227,95.19999999999999,1562.8506172456152,43.764521399569006,,,,0,5494804.856400005,-0.6604754229297211,True
CUST_013340,45,134,10736.48,80.12298507462687,0,0.0,0.0,277,14.512635379061374,5176.780040121172,0,0,0,Frequent Buyers,1438688.3199999998,0.3358208955223881,2.9777777777777774,2024.1090872858938,20.256686138984662,,,,0,1503645.5472999974,-0.5886728048944359,True
CUST_013408,2,478,28117.04,58.82225941422595,0,0.0,0.0,374,38.342245989304814,12772.5375304242,0,0,0,Frequent Buyers,13439945.120000001,0.0041841004184100415,239.00000000000003,2841.6041659245925,29.501412395567325,,,,0,11444541.898699997,-0.7521024031563849,True
CUST_013458,7,382,9646.57,25.252801047120418,0,0.0,0.0,360,31.833333333333332,4341.541858481261,0,0,0,Frequent Buyers,3684989.7399999998,0.01832460732984293,54.57142857142858,922.8431874150307,30.072135496724094,,,,0,3748157.4190000035,-0.6075402965990123,True
CUST_013488,17,422,8968.31,21.25191943127962,0,0.0,0.0,367,34.495912806539515,3922.8551775898854,0,0,0,Frequent Buyers,3784626.82,0.04028436018957346,24.823529411764707,735.7201636661863,30.75169372029233,,,,0,3774628.9303999967,-0.6044062074374947,True
CUST_013668,3,470,6363.59,13.539553191489363,0,0.0,0.0,363,38.84297520661157,2909.003224348298,0,0,0,Frequent Buyers,2990887.3000000003,0.006382978723404255,156.66666666666669,634.3263381664572,45.80029111988991,,,,0,2918097.462400003,-0.5938850433332156,True
CUST_013694,4,568,65039.62,114.50637323943663,0,0.0,0.0,374,45.56149732620321,30119.61217220581,0,0,0,Frequent Buyers,36942504.160000004,0.007042253521126761,142.0,788.3225673753954,12.110601416389967,,,,0,31317878.022499982,-0.8068494520570514,True
CUST_013767,2,368,17220.36,46.79445652173913,0,0.0,0.0,374,29.518716577540108,7554.626503074518,0,0,0,Frequent Buyers,6337092.48,0.005434782608695652,184.0,2031.8528210314184,29.154759474226502,,,,0,5892824.346200005,-0.6934520749289823,True
CUST_013777,1,197,25977.16,131.86375634517768,0,0.0,0.0,373,15.84450402144772,10630.941407992454,0,0,0,Frequent Buyers,5117500.52,0.005076142131979695,197.00000000000003,8965.009486505485,35.2550232827418,,,,0,5608058.100499993,-0.7216936373703154,True
CUST_013798,1,349,37153.85,106.4580229226361,0,0.0,0.0,372,28.14516129032258,16402.552728811672,0,0,0,Frequent Buyers,12966693.65,0.0028653295128939827,349.0,2459.029439899341,28.546745290254485,,,,0,12412694.328299997,-0.7608030015247884,True
CUST_013881,4,178,17159.52,96.40179775280899,0,0.0,0.0,312,17.115384615384613,8223.577822307583,0,0,0,Frequent Buyers,3054394.56,0.02247191011235955,44.5,2397.6442943161246,20.024984394500787,,,,0,3252296.072600001,-0.6726461554397792,True
CUST_013969,7,626,9053.94,14.463162939297126,0,0.0,0.0,365,51.45205479452055,4253.79540758802,0,0,0,Frequent Buyers,5667766.44,0.011182108626198083,89.42857142857143,2194.510885861965,107.4569681314339,,,,0,6132913.592800005,-0.6815986577725291,True
CUST_013985,4,349,7060.13,20.229598853868197,0,0.0,0.0,264,39.65909090909091,4311.12971543941,0,0,0,Frequent Buyers,2463985.37,0.011461318051575931,87.25,1398.8941327914465,65.63218214666745,,,,0,2500189.0542000015,-0.5682197933883497,True
CUST_014031,7,250,17286.86,69.14744,0,0.0,0.0,372,20.161290322580644,7201.116925588763,0,0,0,Frequent Buyers,4321715.0,0.028,35.714285714285715,2896.7655665184,31.39532873958587,,,,0,4384491.9539,-0.6596281861509122,True
CUST_014049,17,488,5681.72,11.642868852459017,0,0.0,0.0,318,46.0377358490566,2897.5835630933175,0,0,0,Frequent Buyers,2772679.3600000003,0.03483606557377049,28.705882352941178,982.3969767868791,78.49840762716146,,,,0,2796775.4555000043,-0.5909254822201115,True
CUST_014051,1,210,15610.39,74.33519047619048,0,0.0,0.0,367,17.166212534059948,6516.78519958038,0,0,0,Frequent Buyers,3278181.9,0.004761904761904762,209.99999999999997,2858.8344519212137,41.39645717530266,,,,0,4002903.8893,-0.6465496316758447,True
CUST_014056,1,1106,8214.65,7.427350813743218,0,0.0,0.0,284,116.83098591549296,5364.235779360286,0,0,0,Frequent Buyers,9085402.9,0.0009041591320072332,1106.0,422.23380082406163,34.95234851432257,,,,0,32906602.490400042,-0.7623792739027688,True
